Biomass type;M;VM;FC;A;C;O;H;N;S;T (°C);AFR (kg/kg);Wnet (kW)
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;1500;2;112.85
Rice husks;10.6;62.8;19.2;18;40.426;35.834;5.002;0.656;0.082;1500;2.3;104.49
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;600;1.8;24.79
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;600;2;17.09
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;600;2.3;8.99
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;900;1.8;100.07
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;900;2;85.80
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;900;2.3;70.80
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;1200;1.8;140.92
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;1200;2;130.42
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;1200;2.3;119.05
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;1500;1.8;180.74
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;1500;2;174.14
Soya husks;6.3;74.3;20.3;5.4;42.9484;44.3674;6.3382;0.8514;0.0946;1500;2.3;166.54
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;600;1.8;64.37
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;600;2;57.72
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;600;2.3;50.62
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;900;1.8;154.06
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;900;2;142.22
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;900;2.3;129.21
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;1200;1.8;190.28
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;1200;2;182.55
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;1200;2.3;173.42
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;1500;1.8;225.13
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;1500;2;221.55
Sugar cane bagasse;10.4;85.5;12.4;2.1;48.7542;42.9781;5.874;0.1958;0.0979;1500;2.3;216.45
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;600;1.8;51.01
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;600;2;44.06
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;600;2.3;36.68
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;900;1.8;142.52
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;900;2;130.03
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;900;2.3;116.45
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;1200;1.8;179.00
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;1200;2;170.58
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;1200;2.3;160.86
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;1500;1.8;214.22
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;1500;2;209.94
Sunflower husks;9.1;76;20.9;3.1;48.8376;41.667;5.3295;1.0659;0;1500;2.3;204.22
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;600;1.8;0.00
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;600;2;0.00
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;600;2.3;0.00
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;900;1.8;72.47
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;900;2;58.14
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;900;2.3;43.06
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;1200;1.8;105.49
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;1200;2;94.88
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;1200;2.3;83.41
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;1500;1.8;138.16
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;1500;2;131.29
Chicken litter;9.3;47.8;14.4;37.8;37.631;15.7366;4.2296;3.8564;0.7464;1500;2.3;123.48
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;600;1.8;99.31
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;600;2;92.42
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;600;2.3;84.89
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;900;1.8;206.51
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;900;2;195.91
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;900;2.3;183.36
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;1200;1.8;240.32
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;1200;2;234.37
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;1200;2.3;226.42
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;1500;1.8;273.19
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;1500;2;271.72
Meat-bone meal;2.5;63.3;12.7;24;43.548;15.808;6.08;9.272;1.292;1500;2.3;268.33
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;600;1.8;113.40
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;600;2;107.77
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;600;2.3;101.39
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;900;1.8;218.17
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;900;2;210.15
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;900;2.3;199.90
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;1200;1.8;249.39
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;1200;2;245.86
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;1200;2.3;240.16
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;1500;1.8;279.58
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;1500;2;280.21
Biomass mixture;8.8;69.4;18.1;12.5;49.6125;28.9625;5.775;2.3625;0.7875;1500;2.3;278.89
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;600;1.8;57.20
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;600;2;49.78
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;600;2.3;41.90
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;900;1.8;124.89
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;900;2;111.30
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;900;2.3;96.70
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;1200;1.8;158.69
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;1200;2;149.06
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;1200;2.3;138.15
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;1500;1.8;191.37
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;1500;2;185.86
Wood-agricultural residue;30.3;78.5;18.2;3.3;50.6708;39.8404;5.802;0.3868;0;1500;2.3;178.84
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;600;1.8;42.23
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;600;2;36.28
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;600;2.3;29.96
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;900;1.8;118.69
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;900;2;108.00
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;900;2.3;96.41
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;1200;1.8;149.64
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;1200;2;142.40
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;1200;2.3;134.07
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;1500;1.8;179.57
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;1500;2;175.82
Wood-almond residue;22.7;77.2;15.9;6.9;47.3879;39.5675;5.4929;0.5586;0.0931;1500;2.3;170.87
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;600;1.8;73.57
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;600;2;68.47
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;600;2.3;62.92
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;900;1.8;172.40
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;900;2;164.21
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;900;2.3;154.69
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;1200;1.8;203.63
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;1200;2;199.12
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;1200;2.3;193.23
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;1500;1.8;233.73
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;1500;2;232.75
Wood-straw residue;7.3;75.51;16.7;8.2;47.4606;38.097;5.7834;0.3672;0.0918;1500;2.3;230.44
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;600;1.8;17.04
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;600;2;11.00
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;600;2.3;4.66
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;900;1.8;100.13
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;900;2;89.05
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;900;2.3;77.33
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;1200;1.8;136.02
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;1200;2;128.18
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;1200;2.3;119.58
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;1500;1.8;170.93
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;1500;2;166.39
Currency shredded;4.7;82.9;11.6;5.5;42.903;43.5645;5.9535;1.7955;0.2835;1500;2.3;161.00
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;600;1.8;71.88
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;600;2;65.85
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;600;2.3;59.37
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;900;1.8;158.99
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;900;2;148.66
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;900;2.3;137.03
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;1200;1.8;191.53
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;1200;2;185.16
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;1200;2.3;177.31
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;1500;1.8;222.82
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;1500;2;220.38
Demolition wood;16.3;75.8;17.3;6.9;48.1327;37.8917;5.9584;1.0241;0.0931;1500;2.3;216.39
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;600;1.8;81.15
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;600;2;74.98
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;600;2.3;68.31
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;900;1.8;174.69
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;900;2;164.25
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;900;2.3;152.35
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;1200;1.8;208.62
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;1200;2;202.42
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;1200;2.3;194.56
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;1500;1.8;241.19
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;1500;2;239.13
Furniture waste;12.1;83;13.4;3.6;49.9352;40.2952;5.8804;0.2892;0;1500;2.3;235.39
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;600;1.8;101.62
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;600;2;95.51
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;600;2.3;88.81
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;900;1.8;197.67
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;900;2;187.68
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;900;2.3;175.99
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;1200;1.8;232.42
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;1200;2;226.90
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;1200;2.3;219.52
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;1500;1.8;265.76
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;1500;2;264.53
Mixed waste paper;8.8;84.2;7.5;8.3;47.9591;36.8634;6.6024;0.1834;0.0917;1500;2.3;261.48
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;600;1.8;195.48
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;600;2;194.33
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;600;2.3;190.77
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;900;1.8;295.67
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;900;2;306.85
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;900;2.3;304.28
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;1200;1.8;327.52
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;1200;2;339.73
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;1200;2.3;340.55
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;1500;1.8;356.97
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;1500;2;371.24
Greenhouse-plastic waste;2.5;62.6;5.6;31.8;48.3538;11.1848;7.6384;1.023;0;1500;2.3;375.79
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;600;1.8;17.89
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;600;2;9.85
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;600;2.3;1.42
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;900;1.8;101.56
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;900;2;87.09
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;900;2.3;71.80
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;1200;1.8;139.35
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;1200;2;128.83
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;1200;2.3;117.34
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;1500;1.8;176.35
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;1500;2;169.85
Refuse-derived fuel;4.2;73.4;0.5;26.1;39.7582;27.1952;5.7642;0.8129;0.3695;1500;2.3;162.27
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;600;1.8;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;600;2;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;600;2.3;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;900;1.8;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;900;2;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;900;2.3;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;1200;1.8;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;1200;2;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;1200;2.3;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;1500;1.8;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;1500;2;0.00
Sewage sludge;6.4;48;5.7;46.3;27.3333;17.9358;3.9201;3.2757;1.2351;1500;2.3;0.00
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;600;1.8;0.00
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;600;2;0.00
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;600;2.3;0.00
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;900;1.8;47.89
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;900;2;38.07
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;900;2.3;27.78
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;1200;1.8;72.57
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;1200;2;65.23
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;1200;2.3;57.35
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;1500;1.8;96.83
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;1500;2;92.01
Wood yard waste;38.1;66;13.6;20.4;41.5512;32.1584;4.776;0.8756;0.2388;1500;2.3;86.59
