Biomass type;M;VM;FC;A;C;O;H;N;S;T (°C);AFR (kg/kg);Wnet (kW)
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;900;2.3;24.66
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1200;1.8;61.74
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1200;2;55.76
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1200;2.3;49.33
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1500;1.8;82.02
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1500;2;78.10
Land clearing wood;49.2;69.7;13.8;16.5;42.3345;35.738;5.01;0.334;0.0835;1500;2.3;73.68
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;600;1.8;57.11
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;600;2;51.73
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;600;2.3;45.97
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;900;1.8;133.10
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;900;2;123.73
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;900;2.3;113.30
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;1200;1.8;162.00
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;1200;2;156.07
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;1200;2.3;148.90
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;1500;1.8;189.80
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;1500;2;187.30
Wood residue;26.4;78;16.6;5.4;48.6244;39.6374;5.7706;0.473;0.0946;1500;2.3;183.49
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;600;1.8;39.34
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;600;2;32.02
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;600;2.3;24.29
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;900;1.8;124.84
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;900;2;111.51
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;900;2.3;97.28
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;1200;1.8;162.75
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;1200;2;153.37
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;1200;2.3;142.89
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;1500;1.8;199.54
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;1500;2;194.20
Reed canary grass;7.7;73.4;17.7;8.9;45.0034;38.8997;5.7393;1.3665;0.0911;1500;2.3;187.61
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;600;1.8;58.68
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;600;2;51.99
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;600;2.3;44.86
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;900;1.8;144.78
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;900;2;132.75
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;900;2.3;119.66
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;1200;1.8;181.07
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;1200;2;173.02
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;1200;2.3;163.70
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;1500;1.8;216.05
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;1500;2;212.05
Sorghastrum grass;11.3;81.6;14.2;4.2;47.3252;42.152;6.0354;0.2874;0;1500;2.3;206.64
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;600;1.8;55.71
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;600;2;48.61
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;600;2.3;41.08
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;900;1.8;146.06
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;900;2;133.28
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;900;2.3;119.42
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;1200;1.8;183.97
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;1200;2;175.32
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;1200;2.3;165.38
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;1500;1.8;220.56
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;1500;2;216.13
Sweet sorghum grass;7;77.2;18.1;4.7;47.3641;41.6461;5.8133;0.3812;0.0953;1500;2.3;210.26
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;600;1.8;247.36
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;600;2;240.29
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;600;2.3;232.81
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;900;1.8;340.20
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;900;2;327.66
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;900;2.3;314.07
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;1200;1.8;377.26
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;1200;2;368.77
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;1200;2.3;359.03
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;1500;1.8;413.08
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;1500;2;408.74
Alfalfa straw;9.3;78.9;15.8;5.3;47.2553;38.6376;5.9661;2.6516;0.1894;1500;2.3;402.98
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;600;1.8;50.97
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;600;2;44.18
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;600;2.3;36.98
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;900;1.8;135.83
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;900;2;123.56
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;900;2.3;110.30
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;1200;1.8;172.09
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;1200;2;163.72
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;1200;2.3;154.15
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;1500;1.8;207.12
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;1500;2;202.73
Barley straw;11.5;76.2;18.5;5.3;46.7818;41.2892;5.8714;0.6629;0.0947;1500;2.3;197.01
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;600;1.8;39.12
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;600;2;31.75
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;600;2.3;23.97
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;900;1.8;123.05
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;900;2;109.58
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;900;2.3;95.21
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;1200;1.8;161.58
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;1200;2;152.04
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;1200;2.3;141.43
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;1500;1.8;198.97
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;1500;2;193.47
Corn straw;7.4;73.1;19.2;7.7;44.9501;40.7043;5.9072;0.6461;0.0923;1500;2.3;186.75
Oat straw;7.4;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;600;1.8;34.55
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;600;2;27.23
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;600;2.3;19.50
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;900;1.8;118.51
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;900;2;105.08
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;900;2.3;90.78
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;1200;1.8;156.66
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;1200;2;147.11
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;1200;2.3;136.51
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;1500;1.8;193.69
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;1500;2;188.14
Oat straw;8.2;80.5;13.6;5.9;45.9208;41.9686;5.646;0.4705;0.0941;1500;2.3;181.38
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;600;1.8;0.00
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;600;2;0.00
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;600;2.3;0.00
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;900;1.8;32.05
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;900;2;16.63
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;900;2.3;0.59
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;1200;1.8;69.62
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;1200;2;57.74
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;1200;2.3;45.19
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;1500;1.8;106.69
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;1500;2;98.41
Rice straw;7.6;64.3;15.6;20.1;40.0299;34.357;4.5543;0.799;0.1598;1500;2.3;89.41
