time,dataid,cleaning_system,cooling_system,lightning_system,milk_pump,RO,vacuum_pump,osmose,coldroom,water_pump,non-shiftable,total
2022-05-30 14:40:00,1.0,6826.7,38506.9,12557.7,4640.7,0.0,892.3,0.0,0.0,0.0,0.0,63424.3
2022-05-30 14:50:00,1.0,6898.3,24353.0,8708.8,4667.8,0.0,947.3,0.0,0.0,0.0,0.0,45575.200000000004
2022-05-30 15:00:00,1.0,6803.8,36161.5,11657.4,4652.0,0.0,942.0,0.0,0.0,0.0,0.0,60216.700000000004
2022-05-30 15:10:00,1.0,6846.7,26857.2,8422.0,4637.6,0.0,979.1,0.0,0.0,0.0,0.0,47742.6
2022-05-30 15:20:00,1.0,7111.5,24379.6,27457.6,4564.4,0.0,940.9,0.0,0.0,0.0,0.0,64454.0
2022-05-30 15:30:00,1.0,8970.0,35073.6,85250.1,5648.3,0.0,943.4,0.0,0.0,0.0,0.0,135885.4
2022-05-30 15:40:00,1.0,9331.2,21366.4,85529.0,55833.2,0.0,2696304.8,0.0,0.0,0.0,0.0,2868364.5999999996
2022-05-30 15:50:00,1.0,7379.4,1697552.0,96320.5,59422.1,0.0,2995483.0,0.0,0.0,0.0,0.0,4856157.0
2022-05-30 16:00:00,1.0,6494.8,2356477.7,82004.5,10441.2,0.0,2994616.7,0.0,0.0,0.0,0.0,5450034.9
2022-05-30 16:10:00,1.0,6621.7,2332842.4,88730.7,58384.8,0.0,2997166.4,0.0,0.0,0.0,0.0,5483746.0
2022-05-30 16:20:00,1.0,6486.0,2324829.9,87040.2,17471.5,0.0,2987760.3,0.0,0.0,0.0,0.0,5423587.9
2022-05-30 16:30:00,1.0,6567.0,2329081.4,93501.2,45025.8,0.0,2988324.1,0.0,0.0,0.0,0.0,5462499.5
2022-05-30 16:40:00,1.0,8473.5,641048.0,95677.6,40022.6,0.0,2986963.9,0.0,0.0,0.0,0.0,3772185.5999999996
2022-05-30 16:50:00,1.0,8955.4,231040.1,101399.8,33540.3,0.0,2987239.1,0.0,0.0,0.0,0.0,3362174.7
2022-05-30 17:00:00,1.0,6476.9,2355037.6,77671.9,31896.0,0.0,2990627.6,0.0,0.0,0.0,0.0,5461710.0
2022-05-30 17:10:00,1.0,6449.2,2343478.6,81809.0,23468.6,0.0,2994964.7,0.0,0.0,0.0,0.0,5450170.100000001
2022-05-30 17:20:00,1.0,5843.8,2497233.3,88705.7,48288.1,0.0,2989337.1,0.0,0.0,0.0,0.0,5629408.0
2022-05-30 17:30:00,1.0,6669.9,963634.7,97057.4,12482.5,0.0,2987523.1,0.0,0.0,0.0,0.0,4067367.6
2022-05-30 17:40:00,1.0,7939.1,22347.9,87799.8,13220.0,0.0,316747.3,0.0,0.0,0.0,0.0,448054.1
2022-05-30 17:50:00,1.0,7824.1,36069.9,32694.2,4559.9,0.0,1123.4,0.0,0.0,0.0,0.0,82271.49999999999
2022-05-30 18:00:00,1.0,7601.7,22953.2,10423.6,4587.0,0.0,1117.8,0.0,0.0,0.0,0.0,46683.3
2022-05-30 18:10:00,1.0,6090.4,1098611.7,1541.1,3790.1,0.0,1132.8,0.0,0.0,0.0,0.0,1111166.1
2022-05-30 18:20:00,1.0,7540.5,23067.2,24260.3,4594.2,0.0,1173.7,0.0,0.0,0.0,0.0,60635.899999999994
2022-05-30 18:30:00,1.0,7585.1,36810.6,17955.2,4573.2,0.0,1176.7,0.0,0.0,0.0,0.0,68100.79999999999
2022-05-30 18:40:00,1.0,7604.8,23229.5,35201.0,4569.1,0.0,1146.2,0.0,0.0,0.0,0.0,71750.6
2022-05-30 18:50:00,1.0,7613.4,26137.8,28969.1,4575.7,0.0,1136.0,0.0,0.0,0.0,0.0,68432.0
2022-05-30 19:00:00,1.0,7573.4,34663.3,42325.4,4586.6,0.0,1151.6,0.0,0.0,0.0,0.0,90300.30000000002
2022-05-30 19:10:00,1.0,7626.5,23511.1,36889.3,4591.8,0.0,1142.5,0.0,0.0,0.0,0.0,73761.2
2022-05-30 19:20:00,1.0,7558.5,37401.0,25959.4,4603.8,0.0,1141.5,0.0,0.0,0.0,0.0,76664.2
2022-05-30 19:30:00,1.0,7554.3,24010.2,28736.1,4632.2,0.0,1164.5,0.0,0.0,0.0,0.0,66097.29999999999
2022-05-30 19:40:00,1.0,7518.8,38360.0,49856.7,4631.2,0.0,1249.7,0.0,0.0,0.0,0.0,101616.4
2022-05-30 19:50:00,1.0,7577.1,23918.6,33371.3,4618.5,0.0,1244.9,0.0,0.0,0.0,0.0,70730.4
2022-05-30 20:00:00,1.0,7544.4,37858.2,41605.8,4585.9,0.0,1205.9,0.0,0.0,0.0,0.0,92800.19999999998
2022-05-30 20:10:00,1.0,7583.9,23927.4,37250.7,4602.4,0.0,1151.9,0.0,0.0,0.0,0.0,74516.29999999999
